film_id,title,year,genre,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,decade,primary_genre,arch_0_weight,arch_1_weight,arch_2_weight,arch_3_weight,arch_4_weight,arch_5_weight,dominant_archetype
tt0082495,Halloween Ii,1981,Horror|Thriller,2.826088,0.57074,1.394433,-0.770622,0.456175,0.395457,-0.798248,-0.783577,0.353527,1.544657,0.108304,-0.90809,0.364943,-0.781484,-0.786431,-0.824575,-0.676599,-0.784167,0.126679,-1.027207,1980s,Horror,0.1497184384449834,0.3294057978009715,0.0,0.4152517564659001,0.0,0.10562400728814493,3
tt0085636,Halloween Iii Season Of The Witch,1982,Horror|Science Fiction|Mystery,0.900945,0.893642,0.751042,0.885563,1.500784,0.290956,-0.900222,0.899548,1.508624,-0.313374,-1.538263,-0.927302,-0.92429,0.344925,-0.902481,-0.908148,-0.212943,0.887947,-0.242047,-1.994907,1980s,Horror,0.2230571969848839,0.09383673296670386,0.08429014128630465,0.5988159287621075,0.0,0.0,3
tt10665338,Halloween Kills,2021,Horror,1.078333,-0.384855,0.357485,0.360303,1.091343,-1.031094,-0.995366,-1.098934,-1.1089,-0.347275,0.351289,0.33355,0.35388,-0.420904,1.743386,-0.37078,-0.361941,-1.638922,-0.354376,2.443777,2020s,Horror,0.0,0.0,0.0,0.34419143908410643,0.3998523432911857,0.255956217624708,4
tt0113253,Halloween The Curse Of Michael Myers,1995,Horror,-0.318903,-0.338779,0.937863,0.312055,-0.25968,-2.173394,-1.616075,0.30244,2.145582,0.906381,0.236974,-0.96698,-1.612804,-0.261934,0.963178,0.877549,0.325066,0.460923,0.362107,-0.281568,1990s,Horror,0.4216144021603531,0.15765350184877727,0.18472201382655126,0.000399342783209455,0.0,0.23561073938110888,0
tt14905854,Hamnet,2025,Drama|Romance|History,0.546335,-0.036757,1.653857,1.657742,1.115861,-1.082975,-1.618008,0.003248,0.56559,1.115994,1.033279,-0.001451,-0.544227,-1.586855,-1.06935,-0.838263,-1.096074,-0.494641,0.012481,0.664215,2020s,Drama,0.0,0.5027350612243034,0.0,0.39537123211381303,0.0,0.1018937066618834,1
tt0101998,Hangin With The Homeboys,1991,Comedy|Drama,0.551981,-0.119412,-1.436102,-1.439546,-0.646322,-0.086849,0.415635,-0.115116,-1.454231,-1.297939,-0.121041,-0.115189,1.861579,0.629224,-0.105458,-0.110223,-0.09655,0.548949,0.569995,2.566615,1990s,Comedy,0.05670048693043427,0.0,0.12393479730432078,0.0,0.47091194742785025,0.34845276833739464,4
tt0993842,Hanna,2011,Action|Thriller|Adventure,1.014467,0.99075,0.427924,-0.171335,-0.171263,0.983959,0.960325,-0.635966,-1.885024,-0.751429,0.995709,-1.291908,-1.899388,-1.287922,0.429885,0.454253,-0.732723,0.429514,1.019633,1.120539,2010s,Action,0.0,0.0,0.43450143208438546,0.3089769368647514,0.0,0.25652163105086306,2
tt0091167,Hannah And Her Sisters,1986,Comedy|Drama,1.137159,0.631564,-0.45672,-0.872353,0.647316,0.123388,0.632862,-0.881485,-0.88356,1.10909,-0.368821,-1.370052,-0.380909,-1.318348,-0.881495,-0.877063,0.124599,0.109915,1.138858,2.636056,1980s,Comedy,0.0,0.2326422597887325,0.40488485215358416,0.027708427625485765,0.0,0.3347644604321977,2
tt0082498,Happy Birthday To Me,1981,Horror|Mystery,-0.692867,-0.707051,0.027931,0.02879,0.020754,1.484992,0.693462,-2.039169,-0.766841,1.416947,1.300064,0.027138,1.462814,-0.123242,0.722671,0.018927,-1.420146,-1.495694,-0.670619,0.711139,1980s,Horror,0.1743185513949644,0.25007846962999886,0.0,0.15840608273557058,0.41719689623946626,0.0,4
tt5308322,Happy Death Day,2017,Comedy|Horror|Mystery,0.846279,-0.727884,0.030636,0.013272,-1.424581,-0.731925,-0.726195,-1.460328,-0.706108,1.44808,0.685629,-0.70781,-1.320339,-0.603215,0.947063,2.271324,0.794404,0.779242,0.734642,-0.142184,2010s,Comedy,0.42859568212502125,0.0,0.09293991234010056,0.0,0.0,0.4784644055348782,5
